state,area,name,totalA,highA,totalB,highB,totalC,highC,totalD,highD,party,partyClass
서울,강남구갑,이종구,149920396,64000000,198550072,15000000,175610000,9000000,129370018,23000000,미래통합당,mirae
중앙,비례대표,이종명,19300001,10000000,25610000,,28860000,5000000,18950317,,미래한국당,mirae
충북,충주시,이종배,231920001,83400000,71390000,13000000,111840020,12600000,82682918,5000000,미래통합당,mirae
경남,창원시마산합포구,이주영,300495000,103500000,197625072,27000000,191983000,25000000,166423636,15000000,미래통합당,mirae
부산,동래구,이진복,290030000,15000000,143820084,4500000,106760000,,134070000,,미래통합당,mirae
울산,남구갑,이채익,299983198,79500000,199500126,54200000,147840036,33600000,115320862,19600000,미래통합당,mirae
강원,동해시삼척시,이철규,149410000,137700000,221200000,106600000,182800000,81400000,161350000,74000000,미래통합당,mirae
경북,김천시,이철우,302304109,64000000,155366524,28700000,,95000000,,,자유한국당,jayu
인천,서구갑,이학재,300410000,92000000,144364322,29000000,135590018,24900000,118571018,29900000,미래통합당,mirae
부산,부산진구을,이헌승,153290110,45000000,174150000,33600000,150530000,33600000,108976000,23600000,미래통합당,mirae
경기,하남시,이현재,258400743,48000000,79750126,17500000,98960010,34000000,82768865,23600000,무소속,non
중앙,비례대표,임이자,46830000,,156870018,,157600018,22100000,146955210,5000000,미래통합당,mirae
경북,구미시을,장석춘,104980018,40000000,164160018,19000000,125136600,19000000,149930000,20000000,미래한국당,mirae
부산,사상구,장제원,90252576,65000000,114879595,28800000,113401528,19800000,120340693,34800000,미래통합당,mirae
중앙,비례대표,전희경,28943822,,66749126,5000000,139043800,4000000,107953349,4500000,미래통합당,mirae
울산,중구,정갑윤,299818000,104000000,220333000,64000000,203996000,45000000,142610018,35000000,미래통합당,mirae
서울,강북구갑,정양석,20800432,15000000,38550072,,48446000,10000000,35150126,9000000,미래통합당,mirae
대전,대덕구,정용기,314352540,54500000,261761684,42600000,181414000,27120000,161999180,28520000,미래통합당,mirae
충북,청주시상당구,정우택,299970000,75000000,277570560,55000000,210310008,25000000,123739080,15000000,미래통합당,mirae
인천,부평구갑,정유섭,36705779,15000000,135632604,52021600,115000072,27800000,105570072,23800000,미래통합당,mirae
경남,통영시고성군,정점식,,,,,,,95670036,65000000,미래통합당,mirae
대구,동구갑,정종섭,86886090,145000000,184590018,55000000,86420001,20000000,77895018,15000000,미래통합당,mirae
충남,공주시부여군청양군,정진석,149992400,185000000,255741242,138000000,158150018,80000000,145192742,84900000,미래통합당,mirae
대구,북구갑,정태옥,149550018,23500000,239680144,12500000,152530007,,149390079,8600000,무소속,non
부산,사하구을,조경태,301251191,45000000,217134561,,161663885,23100000,148701054,33600000,미래통합당,mirae
중앙,비례대표,조훈현,25250072,5000000,29250000,5000000,31550000,16700000,41492521,13500000,미래한국당,mirae
경기,남양주시병,주광덕,126157941,25000000,133172334,14992000,145714001,23600000,145589295,5000000,미래통합당,mirae
대구,수성구을,주호영,299885000,,307735263,30000000,314060299,52100000,151765054,5000000,미래통합당,mirae
경북,영주시문경시예천군,최교일,94903866,19980000,239504698,55000000,202085601,18000000,130503288,,미래통합당,mirae
중앙,비례대표,최연혜,128201054,15100000,78260018,5000000,75500000,5000000,29810136,5000000,미래통합당,mirae
대구,달성군,추경호,140270018,59000000,200491111,44000000,181600000,5000000,152606056,10000000,미래통합당,mirae
경기,용인시병,한선교,79030055,30000000,40960036,,40820002,10000000,17670036,5000000,미래한국당,mirae
경기,시흥시갑,함진규,273860129,25000000,142010090,10000000,87610102,,79992988,,미래통합당,mirae
충남,홍성군예산군,홍문표,230290398,59800000,124640119,10000000,108541000,10000000,68534018,10000000,미래통합당,mirae
인천,미추홀구갑,홍일표,167110145,30000000,71876756,5000000,82830000,5000000,63410000,4000000,미래통합당,mirae
경기,김포시을,홍철호,259120000,143000000,242130000,123000000,196380000,98900000,146100000,57300000,미래통합당,mirae
중앙,비례대표,김종대,95778143,,110424932,5000000,104152601,20000000,120165679,5000000,정의당,jungui
경남,창원시성산구,노회찬,167639329,8500000,342468972,,,,,,정의당,jungui
경기,고양시갑,심상정,304832316,3500000,305378988,10000000,306286363,35000000,153508334,18000000,정의당,jungui
경남,창원시성산구,여영국,,,,,,,154947400,28500000,정의당,jungui
중앙,비례대표,윤소하,162333411,,158530188,,156735072,,168113072,5000000,정의당,jungui
중앙,비례대표,이정미,181077422,,151935287,,158469692,5000000,161975533,,정의당,jungui
중앙,비례대표,추혜선,134502378,10000000,157712485,10000000,168094903,19500000,149973903,10000000,정의당,jungui
