state,area,name,totalA,highA,totalB,highB,totalC,highC,totalD,highD,party,partyClass
전북,익산시을,조배숙,69295918,20000000,112760126,24000000,80256018,9200000,79689000,9500000,민생당,minsaeng
전남,고흥군보성군장흥군강진군,황주홍,260169036,50000000,253648710,13000000,262910010,23200000,147910000,30000000,민생당,minsaeng
울산,동구,김종훈,181080010,#N/A,131396000,#N/A,130930100,#N/A,130443000,#N/A,민중당,minjung
광주,광산구을,권은희,122142855,17500000,58144636,,58800419,5000000,31527362,5000000,국민의당,kukmin
전북,군산시,김관영,299910007,65000000,299931145,53000000,300735000,29500000,149818343,37500000,무소속,non
광주,광산구갑,김동철,301190018,105000000,189985572,65000000,234310388,63100000,150060054,39700000,민생당,minsaeng
중앙,비례대표,김삼화,65680000,14000000,89350018,15000000,79840000,10000000,67540000,,바른미래당,barun
서울,관악구갑,김성식,98735072,47830000,128105822,40000000,102620000,14000000,110691483,20000000,무소속,non
중앙,비례대표,김수민,,,,,32044355,5000000,26272409,,바른미래당,barun
중앙,비례대표,김중로,71550000,35000000,87125040,22600000,59300000,,24440000,,바른미래당,barun
중앙,비례대표,박선숙,19500018,#N/A,50490001,#N/A,39180000,#N/A,19760000,#N/A,민생당,minsaeng
광주,동구남구을,박주선,342559489,130800000,282959326,153100000,221831137,92300000,150470000,42600000,민생당,minsaeng
중앙,비례대표,박주현,,,35420289,5000000,60201000,,51351836,,민생당,minsaeng
중앙,비례대표,신용현,63360036,,93075000,10000000,97100000,18500000,75545000,5000000,민생당,minsaeng
중앙,비례대표,오세정,76170036,5000000,72480000,5000000,,,,,국민의당,kukmin
서울,관악구을,오신환,53310738,5000000,48971372,9000000,30151018,3140000,24670322,,미래통합당,mirae
대구,동구을,유승민,300070415,89858289,301793423,69000000,144378441,15000000,143992792,9000000,미래통합당,mirae
경기,평택시을,유의동,241590324,39950000,141163590,5000000,112920000,5000000,105255000,,미래통합당,mirae
중앙,비례대표,이동섭,79055754,9000000,96795000,29000000,109567610,24000000,103410000,33000000,바른미래당,barun
중앙,비례대표,이상돈,40779018,4000000,54343300,,43960000,,17640000,5000000,민생당,minsaeng
경기,수원시갑,이찬열,143569000,15000000,104190018,15000000,62090000,,84512046,5000000,미래통합당,mirae
중앙,비례대표,이태규,28820018,5000000,32830091,19400000,53030000,19800000,23220000,4400000,국민의당,kukmin
서울,서초구갑,이혜훈,87127622,40000000,78090936,14000000,64004192,5000000,42206094,10000000,미래통합당,mirae
중앙,비례대표,임재훈,,,,,130030000,25000000,148575000,24800000,민생당,minsaeng
중앙,비례대표,장정숙,14380000,#N/A,33810000,#N/A,31460000,#N/A,38944000,#N/A,민생당,minsaeng
경기,여주시양평군,정병국,300313115,140000000,147167556,60000000,89954404,50000000,51991700,15000000,미래통합당,mirae
전북,전주시을,정운천,150000343,73000000,196879890,35000000,171451024,39000000,149980000,35000000,미래한국당,mirae
전남,여수시을,주승용,173290073,24700000,84121252,5000000,95194036,,97380018,,민생당,minsaeng
서울,중구성동구을,지상욱,60702602,94500000,60329502,15000000,61840000,10000000,75580018,5000000,미래통합당,mirae
중앙,비례대표,채이배,123716461,10000000,143988018,13400000,130401000,5000000,92240000,10000000,민생당,minsaeng
중앙,비례대표,최도자,63778418,5000000,105890054,4000000,115811272,,145801000,,민생당,minsaeng
부산,해운대구갑,하태경,295362871,78200000,293881292,51890000,225829254,18360000,150591631,15000000,미래통합당,mirae
경북,상주시군위군의성군청송군,김종태,275072678,113000000,,,,,,,새누리당,jayu
경기,용인시갑,이우현,229530670,78500000,88583390,20000000,12900000,,,,새누리당,jayu
강원,홍천군철원군화천군양구군인제군,황영철,188570439,65000000,48720126,5000000,21230018,,,,새누리당,jayu
대구,달서구병,조원진,299982870,98200000,204415656,64900000,172756446,45100000,149803562,39350000,우리공화당,woori
경기,의정부시을,홍문종,214873104,79500000,87730018,20000000,33650036,5000000,96098055,9000000,친박신당,non
경남,산청군함양군거창군합천군,강석진,90260000,45000000,117120018,5000000,97620000,10000000,85017157,5000000,미래통합당,mirae
경북,영양군영덕군봉화군울진군,강석호,285816342,57000000,295950119,58000000,275085000,55000000,150900000,45000000,미래통합당,mirae
중앙,비례대표,강효상,102440008,20000000,90890173,14000000,152235036,40000000,153396362,17700000,미래통합당,mirae
충북,증평군진천군음성군,경대수,187310325,63200000,44650260,5000000,61820000,10000000,48250000,5000000,미래통합당,mirae
대구,달서구갑,곽대훈,98640000,24000000,165270000,40000000,108710000,29000000,110870000,15000000,무소속,non
대구,중구남구,곽상도,140100036,130000000,128342454,45000000,72085259,20000000,132403372,50000000,미래통합당,mirae
충북,제천시단양군,권석창,128300019,68500000,208973689,80500000,,,,,자유한국당,jayu
강원,강릉시,권성동,299973569,85000000,184330933,60000000,102346563,20000000,134264544,25000000,무소속,non
경북,안동시,김광림,300186037,52900000,233216073,56600000,222800000,54000000,150002000,10000000,미래통합당,mirae
중앙,비례대표,김규환,39540000,10000000,75910000,,45060000,,123558992,28800000,미래한국당,mirae
강원,원주시갑,김기선,144516171,42000000,81219144,20000000,79930000,14000000,105750000,10000000,미래한국당,mirae
부산,북구강서구을,김도읍,300020000,193200000,172650018,73600000,167540010,53600000,150870357,40000000,미래통합당,mirae
경기,안산시단원구갑,김명연,219132306,36500000,141390126,33500000,108850018,15000000,103080000,24000000,미래통합당,mirae
부산,중구영도구,김무성,295392289,139000000,191710670,84000000,102595000,48500000,38320090,15000000,미래통합당,mirae
대구,서구,김상훈,220661785,28200000,150106119,3400000,201286036,13600000,142420036,3600000,미래통합당,mirae
경북,경주시,김석기,150300108,125000000,245260018,109900000,299790000,177600000,149680036,67600000,미래통합당,mirae
서울,도봉구을,김선동,40800018,53300000,73363354,19000000,97430000,14000000,104070001,14000000,미래통합당,mirae
경기,동두천시연천군,김성원,135570019,50000000,181630036,60000000,173860000,25000000,153170018,19000000,미래통합당,mirae
경남,창원시진해구,김성찬,222130000,60000000,114880000,5000000,111220010,10000000,58400000,,미래한국당,mirae
서울,강서구을,김성태,292146000,35000000,254621103,19000000,143370050,19500000,101192221,10000000,미래통합당,mirae
중앙,비례대표,김성태,95130360,15000000,68620137,,87830000,5000000,70904792,5000000,미래통합당,mirae
